id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
P_068,"One hand, index finger extended, positioned on the side of the head, pointing the ear, stationary + one hand, index finger extended pointing up, moving upwards, once","One hand, index finger pointing the ear, stationary + one hand, index finger extended pointing down, moving downwards, once","One hand, index finger extended, pointing at the mouth, stationary + two hands, index fingers extendeds crossing in front of mouth, stationary","One hand, index finger extended, pointing at the mouth, stationary + one hand, thumb finger extended upward, stationary","One hand, index finger extended, drawing a circle over the face, once + two hands, open palms facing inward crossing in front, stationary","One hand, index finger extended, drawing a circle over the face, once + one hand, thumb finger extended upward, stationary","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_069,"One hand, open palm facing front, swiping upwards, once","One hand, open palm facing front, swiping upwards, once","One hand, open palm facing down, slashing rightwards in front, once","One hand, open palm facing down, slashing leftwards in front, once","One hand, open palm facing frontward, moving downwards in front, once","One hand, open palm facing the side in front, moving upwards, once ","One hand, thumb finger and middle finger flicking together in front, produce a snapping sound, once","Two hands, open palms facing down in front, hands stacked together in front, spreading outwards, once"
P_070,"One hand, fingers pinching knob in front, rotating clockwise, once","One hand, fingers pinching knob in front, rotating counterclockwise, once","Two hands, open palms facing down, crossing in front of the mouth, stationary","Two hands, open palms facing down,crossed in front of the mouth, spreading apart away from the mouth, once","Two hands, palms open, one hand horizontally placed over the other in a vertical , forming a ""t"" shape, stationary","Two hands, open palms forming a ""t"" shape, then moving apart sidewards, once","One hand, index finger extended upward, stationary","One hand, open palm pointing front facing left, swiping leftwards, once"
P_071,"One hand, fingers pinching knob in front, rotating clockwise, once","One hand, fingers pinching knob in front, rotating counterclockwise, once","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, arm extended, open palm facing forward, hand moving back inwards, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_072,"One hand, fingers pinching knob in front, rotating clockwise, once","One hand, fingers pinching knob in front, rotating counterclockwise, once","One hand, open palm facing the face, covering the mouth, stationary","Two hands, open palms touching the mouth, moving outward away from the mouth, once","Two hands, open palms facing inward, covering the eyes, stationary","Two hands, indexes and thumbs fingers in a round shape over the eyes, then opening fingers, once","One hand, index finger extended upward, stationary","One hand, closed palm and index finger extended facing down, sliding horizontally across the throat rightwards, once"
P_073,"One hand, closed palm facing up, index finger extended pointing forward, swiping upwards, repeatedly","One hand, closed palm facing down, index finger extended pointing forward, swiping downwards, repeatedly","One hand, index finger extended, rotating finger clockwise, repeatedly","One hand, index finger extended, rotating finger counterclockwise, repeatedly","One hand, open palm facing front, closing fist inward, once","One hand, closed palm facing forward, releasing and open palm, once","One hand, index finger extended upward, stationary","Two hands, open palms facing frontward, clapping in front, once"
P_074,"One hand, open palm facing up, swiping upwards, repeatedly","One hand, open palm facing down, swiping downwards, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","One hand, closed palm facing outward front of mouth, quickly opening fingers, once","One hand, open palm facing front, swipping roung while closing fist inward, once","One hand, closed palm facing forward, swipping roung while releasing and open palm, once","One hand, open and raised palm, facing forward, stationary","Two hands, open palms facing each other in front, clapping in front, once"
P_075,"One hand, index extended positioned on the side of the head, pointing to the ear, repeatedly","One hand, index extended near the ear, pointing to the ear, repeatedly + one hand, open palm facing down, moving downwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, repeatedly","One hand, open palm facing up, moving upwards, once","One hand, arm extended, open palm facing outward, blocking view in front, stationary","Two hands, open palms facing the face, uncovering the eyes, repeatedly","One hand, index finger extended upward, stationary","Two hands, open palms facing down in front, hands stacked together in front, spreading outwards, once"
P_076,"One hand, fingers pinching knob in front, rotating clockwise close to the ear, once","One hand, fingers pinching knob in front, rotating counterclockwise close to the ear, once","Two hands, both hands thumbs finger and index fingers pinching together in front of the mouth, swiping to the sides, once","One hand, closed palm facing inward in front of mouth, quickly opening fingers outwards, once","Two hands, open palms facing inward, covering the eyes, stationary","Two hands, open palms facing inwards, covering the eyes, then spreading hands outwards, once","One hand, open and raised palm, facing forward, stationary","Two hands, index and thumb fingers pinched, drawing a double circle over the face, once"
P_077,"One hand, closed palm facing left in front, thumb finger rubbing index upwards, repeatedly","One hand, closed palm facing left in front, thumb finger rubbing index downwards, repeatedly","One hand, palm partially open, all fingers tapping together, once","One hand, closed palm facing leftward in front, quickly opening fingers, once","One hand, open palm facing leftward, moving downwards in front, once","One hand, open palm facing down in front, moving upwards, once","One hand, index finger extended upward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
