id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
P_015,"One hand, open palm facing up, moving upwards, once","One hand, open palm facing down, moving downwards, once","One hand, open hand with open fingers in front, all fingers tapping together frontward, once","One hand, closed palm facing outward, quickly opening fingers outward, once","One hand, open palm facing inward, moving downwards in front face, once","Two hands, open palms clapping together in front, once","One hand, index finger extended upward, stationary","One hand, open and raised palm, facing forward, stationary"
P_016,"One hand, open palm facing up, moving upwards, once","One hand, open palm facing down, moving downwards, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm fingers touching the mouth, moving outward away from the mouth, once","One hand, open palm facing down, moving downwards, once","One hand, open palm facing down, moving upwards, once ","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing inward, moving downwards, once"
P_017,"One hand, two fingers pinched together, slowly opening fingers outward, once","One hand, thumb finger and index finger extended, slowly pinching together, once","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, thumb finger and index touching the mouth, opening fingers and moving frontward away from the mouth, once","Two hands, palms closed facing inward, separated to the sides, moving towards each other to the center, in front, once","Two hands, closed palms facing outward on the center, moving away from each other, once","One hand, index finger extended upward, stationary","Two hands, open palm facing forward, waving left-right, repeatedly"
P_018,"One hand, open palm facing down, swiping upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","Two hands, index finger extendend near the ear, stationary","Two hands, palms facing inward, covering the eyes, stationary","Two hands, open palms facing inward, covering the eyes, then moving outward, once","One hand, index finger extended upward, stationary","One hand, open palm facing forward, waving left-right, repeatedly"
P_019,"One hand, fingers pinching knob, rotating clockwise, repeatedly","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once","One hand, palm facing inward, covering the eyes, stationary","Two hands, closed palms facing outward on the center, moving away from each other, once","One hand, index finger extended upward, stationary","Two hands, one hand open palm facing up, other hand open open palm facing down, moving downwards to the other"
P_020,"One hand, open palm facing up, moving upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, all fingers extended outward, all fingers tapping together, once","Two hands, open palms, crossing each other, spreading outward to the sides","Two hands, open palms facing down crossing in front, spreading sideways, once","Two hands, index finger extendeds and thumbs extended, forming a rectangular shape in front of the face, stationary","One hand, index finger extended upward, stationary","Two hands, open palms facing body crossing in front, spreading sideways, once"
P_021,"One hand, index extended, positioned on the side of the head, pointing the ear, stationary + one hand, index finger extended pointing up, stationary","One hand, index extended near the ear, stationary + one hand, thumb finger and index finger pinching together, slowly closing inward, once","One hand, index finger extended, pointing at the mouth, stationary + two hands, hands stacked together in front, spreading outwards","One hand, index finger extended, pointing at the eye, stationary + one hand, index finger extended pointing up, stationary","One hand, palm facing inward, moving downwards in front face, once","One hand, index finger extended, pointing at the eye, stationary + one hand, open open palm facing up, moving upwards, once ","One hand, index finger extended upward, stationary","Two hands, open palms touching each other, fingers wrapped around the opposite hand, moving up and down, repeatedly"
P_022,"One hand, index extended positioned on the side of the head, pointing the ear, poiting the ear, repeatedly","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, index finger extended placed over the mouth, stationary",Unknown,"Two hands, palms closed facing inward, one hand above the other, moving towards each other in front, once","One hand, open palm facing forward, waving left-right, repeatedly","One hand, index finger extended upward, stationary","One hand, open palm facing forward, waving left-right, repeatedly"
P_023,"One hand, thumb finger and index finger pinching together, slowly closing inwards, repeatedly + one hand, open palm pointing up, moving upwards, repeatedly","One hand, open palm pointing down, moving downwards, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm fingers touching the mouth, moving outward away from the mouth, once","Two hands, palms facing inward, covering the eyes, stationary","Two hands, open palms facing inward, covering the eyes, then moving outward, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm near the right ear, moving downwards in front, once"
P_024,"One hand, index finger extended, rotating finger clockwise, repeatedly","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, open palm facing outward, moving downwards, once","One hand, open palm facing down, swipping upwards, once","One hand, arm extended, open palm facing outward, blocking view in front, moving forward, once","One hand, open palm facing outward, moving forward, blocking view in front, once",Unknown,"One hand, open palm facing forward, waving left-right, repeatedly"
P_025,"One hand, fingers pinching knob, rotating clockwise, once","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm fingers touching the mouth, moving outward away from the mouth, moving letf-to-right","One hand, arm extended, open palm facing outward, blocking view in front, moving forward, once","One hand, open palm facing front arm extended to front, swiping righttward, once","One hand, index finger extended upward, stationary","One hand, open palm facing down, moving downwards, once"
P_026,"One hand, open palm with fingers extended, moving side to side in a wave format, repeatedly + one hand, index finger extended pointing up, moving upwards, once ","One hand, open palm facing down, moving side to side in a wave motion, repeatedly + one hand, index finger extended pointing down, moving downwards, once ","One hand, open palm, fingers extended, moving side to side in a smooth, flowing motion, repeatedly + one hand, thumb finger and index finger pinching together over mouth, swiping rightwards, once","One hand, open palm, fingers extended, moving side to side in a smooth, flowing motion, repeatedly + one hand, thumb finger and index finger pinching together, swiping leftward","One hand, index finger extended and thumb finger extended, forming a circular or eye-like shape, stationary + one hand, fingers extended then closing into a grabbing motion, once","One hand, index finger extended and thumb finger extended, forming a circular or eye-like shape, stationary + one hand, palm forming a circular, opening fingers outward, once","One hand, index finger extended upward, stationary","One hand, index finger extended, moving diagonally in the air to forma an x, once"
P_027,"One hand, open palm facing down, swiping upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, closed palm, facing outward, quickly opening and closing fingers, repeatedly","Two hands, index finger extendeds and thumbs extended, forming a rectangular shape in front of the face, closing the frame, repeatedly","Two hands, index finger extendeds and thumbs extended, forming a rectangular shape in front of the face, stationary","One hand, open and raised palm, facing forward, stationary","One hand, open palm near the right ear, moving downwards in front, once"
P_028,"One hand, index extended positioned on the side of the head, pointing the ear, stationary + one hand, index finger extended, pointing upwards, repeatedly","One hand, index extended near the ear, stationary + index finger extended pointing down, moving downwards, repeatedly","One hand, thumb finger and index finger extended pinched together near the mouth, stationary","One hand, thumb finger and index finger extended pinched together near the mouth, releasing, once","One hand, open palm facing outward, blocking view in front, moving rigthward in a big circle with the arm, once","One hand, arm extended, open palm facing outward, moving leftward in a big circle with the arm, once","One hand, index finger extended upward, stationary","One hand, open palm facing front arm extended to front, swiping righttward, once"
P_029,"One hand, open palm facing down with index finger extended to front, swiping upwards, repeatedly","One hand, thumb finger and index finger extended pinched together, sliding downwards, once","One hand, palm facing outward, moving forward, once","One hand, arm extended, palm facing forward, moving back inward, once","One hand, open palm, extended outward, swiping leftwards, once","One hand, open palm extended outward, swiping rightwards, once","One hand, index finger extended upward, stationary","One hand, flat hand, palm facing outward, moving downwards, once"
P_030,"One hand, index extended positioned on the side of the head, pointing the ear, stationary + one hand, thumb finger extended pointing up, moving upwards, repeatedly","One hand, curved hand near the ear, stationary + one hand, thumb finger extended pointing down, moving dowards, repeatedly","One hand, index near the ear, stationary + one hand, all fingers tapping together, closing sideward, once","One hand, index finger extended near the ear, stationary + one hand, all fingers tapping together, opening sideward, once","One hand, palm facing inward + one hand, palm facing inward, moving downwards, in front, once","One hand, palm facing inward + one hand, open palm facing down, moving upwards, once ","One hand, index finger extended upward, stationary","Two hands, open palms and facing each other, moving toward each other twice and clapping, twice"
P_031,"One hand, fingers pinching knob, rotating clockwise, repeatedly","One hand, fingers pinching knob, rotating counterclockwise, repeatedly",Unknown,Unknown,"One hand, index pointing outward, swiping rightward","One hand, closed palm, index pointing outward, swiping leftward","One hand, index finger extended upward, stationary","Two hands, palm facing forward, waving left-right, repeatedly"
P_032,"One hand, curved hand positioned on the side of the head, pointing the ear, stationary + one hand, index finger extended, pointing upwards, repeatedly","One hand, curved hand near the ear, stationary + one hand, index finger extended pointing down, moving downwards, repeatedly","One hand, thumb finger and index finger pinching together over mouth, twisting hand, once","Two hands, closed palm, facing outward, quickly opening fingers outward, once","One hand, flat hand, palm facing frontward, moving downwards, once","One hand, open palm facing down, moving upwards, once ","One hand, open and raised palm, facing forward, stationary","One hand, palm facing forward, waving left-right, repeatedly"
P_033,"One hand, open palm facing up, moving upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, open palm facing down, moving downwards, once + one hand, open palm facing front arm extended to front, swiping rightwards, once","One hand, open palm facing front arm extended to front, swiping leftwards, once+ one hand, back of the hand facing up, moving upwards, once ","Two hands, open palms and facing each other, moving toward each other twice and clapping, twice","Two hands, open palms and facing each other, moving toward each other twice and clapping, twice","One hand, index finger extended upward, stationary","Two hands, open palms and facing each other, moving toward each other twice and clapping, repeatedly"
P_034,"One hand, open palm facing up, moving upwards, repeatedly + one hand, curved hand near the ear, stationary","One hand,thumb ifinger and index finger extendeds pinching together, slowly closing inward, once","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, curved hand near the ear, stationary + one hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once","One hand, open palm facing outward, blocking view in front, moving forward, once","One hand, arm extended, palm facing forward, moving back inward, once","One hand, index finger extended upward, stationary","One hand, open palm facing forward, waving fingers up-down, repeatedly"
P_035,"One hand, back of the hand facing up, moving upwards, once ","One hand, open palm facing down, moving downwards, once","One hand, open palm facing outward, moving downwards, once","One hand, open palm facing down, moving upwards, once ","One hand, palm facing inward, covering the eyes, stationary","One hand, palms facing inward, covering the eyes, then moving outward, once","One hand, open and raised palm, facing forward, stationary","Two hands, open palm facing outward, moving downwards, once"
P_036,"One hand, index finger extended frontward, rotating the index finger clockwise, repeatedly","One hand, index finger extended, rotating finger counterclockwise, repeatedly","Two hands, open palms and facing each other, clapping once in front of the face, once","Two hands, open palms and facing each other, clapping, once in front of the face, once","Two hands, palms closed facing inward, one hand above the other, moving towards each other to the center, in front, once","Two hands, palms closed facing outward on the center, moving away from each other, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing forward, waving left-right, repeatedly"
P_037,"One hand, index extended positioned on the side of the head, pointing the ear, stationary","One hand, open palm facing down, moving downwards, once","One hand, open palm facing inward, covering the mouth, stationary","One hand, closed palm, facing outward, quickly opening fingers, once","Two hands, open palms facing body crossing in front, spreading sideways, once","Two hands, thumbs extended upward, stationary","One hand, index finger extended upward, stationary","One hand, open palm facing outward, moving downwards, once"
P_038,"One hand, fingers pinching knob, rotating clockwise, once","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, all fingers tapping together, closing frontwards, once","One hand, all fingers tapping together, closing frontward, once","One hand, palm facing inward, moving downwards in front face, once","One hand, palm facing inward, moving upwards in front of the face","One hand, index finger extended upward, stationary","One hand, open palm, sliding horizontally across the throat, rightwards, once"
P_039,"One hand, curved hand positioned on the side of the head, behind the ear, stationary + one hand, open palm facing up, moving upwards, repeatedly","One hand, palm facing to side, swiping downwards, repeatedly",,"One hand, thumb finger and middle finger flicking together, produce a snapping sound, once",,"Two hands, index finger extendeds and thumbs extended, forming a rectangular shape in front of the face, stationary","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing forward, waving left-right, repeatedly"
P_040,"One hand, back of the hand facing up, moving upwards, once ","One hand, open palm facing down, moving downwards, once","One hand, open palm facing down, sliding horizontally across the throat rightwards, repeatedly","One hand, open palm facing down, sliding horizontally across the throat rightwards, repeatedly","One hand, open palm facing front, closing fist frontward, once","Two hands, open palm facing each other, moving away from each other, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing outward, swipping downwards in front, once"
P_041,"One hand, index finger extended pointing up, repeadly","One hand, index finger extended, pointing down, moving downwards, repeatedly","One hand, index finger extended placed over mouth, stationary","One hand, curved hand near the ear, stationary","Two hands, palm facing inward, covering the eyes, stationary","Two hands, fingers curled into circles, placed over the eyes, imitating binoculars, stationary","One hand, index finger extended upward, stationary","Two hands, open palms fingers pointing up, pressed together in front of the chest, stationary"
P_042,"One hand, open palm facing up, moving upwards, once ","Open palm facing down, moving downwards, once","One hand, open palm facing down, closing fist inward, once","One hand, closed palm, facing outward, quickly opening fingers, once","One hand, open palm facing to left, extended out to front, swiping leftwards, once","One hand, open palm, extended outward, swiping rightwards, once","One hand, index finger extended upward, stationary","One hand, fingers curled near the ear, moving downwards in front, once"
P_043,"One hand, index finger extended, rotating finger clockwise, repeatedly","One hand, index finger extended, rotating finger counterclockwise, repeatedly",,,"One hand, open palm facing outward, blocking view in front, moving forward, once","One hand, arm extended, palm facing forward, moving back inward, once","One hand, open and raised palm, facing forward, stationary",
P_044,"One hand, open palm facing up, moving upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, thumb finger and index finger pinching together, swiping over nouth rightwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once + one hand, index finger extended, pointing up, moving upwards, repeatedly","One hand, index extended, point frontward + one hand, palm facing outward, moving forward, once","One hand, index extended, point frontward + one hand, thumb finger extended upward, stationary","One hand, thumb finger and index finger extended slightly apart, stationary","Two hand, thumb finger extended upward, stationary + two hands, palm facing forward, waving left-right, repeatedly"
P_045,"One hand, open palm facing up, moving upwards, once ","One hand, open palm facing down, moving downwards, repeatedly","One hand, open palm facing the face, covering the mouth, stationary","One hand, open palm fingers touching the mouth, moving outward away from the mouth, once","One hand, palm facing inward, covering the eyes, stationary","One hand, palms facing inward, covering the eyes, then moving outward, once","One hand, open and raised palm, facing forward, stationary","One hand, palm facing forward, waving left-right, once"
P_046,"One hand, fingers pinching knob, rotating clockwise, once","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","Two hands, palms open, one hand horizontally placed over the other in a vertical , forming a ""t"" shape, stationary","Two hands, palms open, forming a ""t"" shape, then moving apart horizontally, once","One hand, arm extended, open palm facing outward, blocking view in front, moving outwards, stationary","One hand, arm extended, palm facing forward, moving back inward, once","One hand, open and raised palm, facing forward, stationary","One hand, palm facing forward, waving left-right, repeatedly"
P_047,"One hand, back of the hand facing up, moving upwards, once ","One hand, open palm facing down, moving downwards, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm, facing forward, raised upward to twist grabbing, once","One hand, open palm facing front, closing fist inward, once","Two hands, open palm, facing forward, grabbing and releasing, once","One hand, open and raised palm, facing forward, stationary","Two hands, open palms facing body crossing in front, spreading sideways, once"
P_048,"One hand, curved hand positioned on the side of the head, behind the ear, stationary","Two hands, one hand, index finger extended pointing mouth, other hand, open palm facing down, moving downwards, once","Two hands, index blocking ears, stationary","Two hands, index unblocking ears, once","One hand, palm facing inward, covering the eyes, stationary","One hand, palm facing inward, uncovering the eyes, moving upwards, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing down, sliding horizontally across the throat rightwards, once"
P_049,"One hand, curved hand positioned on the side of the head, behind the ear, stationary","One hand, curved hand near the ear, stationary + other hand, open palm facing down, moving downwards, once","One hand, index finger extended placed over the mouth, stationary","One hand, curved hand near the ear, stationary","Two hands, open palms facing out crossing in front, stationary","Two hands, open palms side to side facing front, spreading sideway, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_050,"One hand, open palm facing up, moving upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","Two hands, both hands thumbs finger and index fingers pinching together in front of the mouth, swiping to the sides, once","One hand, open palm facing up, moving upwards, repeatedly","Two hands, open palms facing out crossing in front, stationary","Two hands, open palms side to side facing front, spreading sideway, once","One hand, index finger extended upward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_051,"One hand, fingers pinching knob, rotating clockwise, repeatedly","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, open palm facing the face, covering the mouth, stationary","One hand, open palm fingers touching the mouth, moving outward away from the mouth, once","One hand, open palm facing forward, waving left-right, repeatedly","One hand, open palm facing forward, waving left-right, repeatedly","One hand, open and raised palm, facing forward, stationary","One hand, closed palm at the right side, moving downwards in front, once"
P_052,"One hand, open palm facing up, moving upwards, once","One hand, open palm facing down, moving downwards, repeatedly","One hand, index finger extended placed over the mouth, stationary","One hand, curved hand index and thumb fingers touching the ear, stationary","One hand, open palm facing inward, covering the eyes, stationary","One hand, palm facing inward, uncovering the eyes, moving upwards, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_053,"One hand, curved hand positioned on the side of the head, behind the ear, stationary","One hand, index finger pointing the ear, stationary + one hand, index finger extended pointing down, moving downwards, repeatedly","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once + one hand, tindex finger extended pointing down, moving downwards, repeatedly","One hand, open palm fingers touching the mouth, moving outward away from the mouth, once","Two hands, index finger extended, forming a rectangular shape in front of the face, once + one hand, palm facing outward, moving forward, once","Two hands, index finger extended, forming a rectangular shape in front of the face, once + one hand, thumbs extended upward, stationary","One hand, index finger extended upward, stationary","Two hands, open palms facing outward in front, spreaded sideways, stationary"
